track ID, train/test set, vocals
0, validation, -7.7240142822265625
1, validation, -3.8255162239074707
2, validation, -6.754055500030518
3, validation, -0.653887152671814
4, validation, -2.115234136581421
5, validation, -1.971665620803833
6, validation, 0.4671160876750946
7, validation, -2.1601853370666504
8, validation, 0.01213803794234991
9, validation, 4.059390068054199
10, validation, -2.8665711879730225
11, validation, 0.25813156366348267
12, validation, -2.889904737472534
13, validation, -5.242735862731934
