track ID, train/test set, vocals
0, validation, -2.2376248836517334
1, validation, -12.5560302734375
2, validation, -17.658700942993164
3, validation, -21.44692611694336
4, validation, -18.736469268798828
5, validation, -9.472962379455566
6, validation, -37.014774322509766
7, validation, -5.628102779388428
8, validation, -21.445098876953125
9, validation, -40.51058578491211
10, validation, -30.655553817749023
11, validation, -31.82984161376953
12, validation, -17.696456909179688
13, validation, -11.702434539794922
