track ID, train/test set, vocals
0, validation, 1.8197803497314453
1, validation, 0.8225107789039612
2, validation, 0.6179913282394409
3, validation, 0.37759721279144287
4, validation, 0.5136950016021729
5, validation, 0.6454723477363586
6, validation, 0.25835156440734863
7, validation, 0.881982684135437
8, validation, -0.012614154256880283
9, validation, 1.1177254915237427
10, validation, 0.6890890002250671
11, validation, 1.4251924753189087
12, validation, 0.2488061636686325
13, validation, 0.44516459107398987
