track ID, train/test set, vocals
0, validation, -43.28080368041992
1, validation, 1.5130654573440552
2, validation, -19.281436920166016
3, validation, -49.644935607910156
4, validation, -9.343080520629883
5, validation, -20.199913024902344
6, validation, -19.31032943725586
7, validation, -6.679854393005371
8, validation, -4.10535192489624
9, validation, -5.193725109100342
10, validation, -4.674614429473877
11, validation, -35.961280822753906
12, validation, -7.523932933807373
13, validation, -37.887351989746094
