track ID, train/test set, vocals
0, validation, 2.2641000747680664
1, validation, 3.102719306945801
2, validation, 5.773507118225098
3, validation, 2.616981267929077
4, validation, -2.2450766563415527
5, validation, -8.089471817016602
6, validation, 0.27122992277145386
7, validation, -5.4793596267700195
8, validation, 1.1907315254211426
9, validation, 2.0425865650177
10, validation, 2.3007166385650635
11, validation, 1.212079644203186
12, validation, 2.5773630142211914
13, validation, 3.9318132400512695
