track ID, train/test set, vocals
0, validation, 4.743651866912842
1, validation, 3.8670411109924316
2, validation, 4.076113700866699
3, validation, 1.3767688274383545
4, validation, 4.354709625244141
5, validation, 3.5998878479003906
6, validation, 5.666339874267578
7, validation, 7.947774887084961
8, validation, 5.9905548095703125
9, validation, 5.184231281280518
10, validation, 2.618724822998047
11, validation, 6.759669303894043
12, validation, 4.4146199226379395
13, validation, 4.389520645141602
