track ID, train/test set, vocals
0, validation, 2.0858447551727295
1, validation, 5.409677505493164
2, validation, 4.491874694824219
3, validation, 1.6268378496170044
4, validation, 2.6457700729370117
5, validation, 5.127255439758301
6, validation, 2.7099039554595947
7, validation, 3.3855316638946533
8, validation, 3.325162410736084
9, validation, 1.2611775398254395
10, validation, 3.1839089393615723
11, validation, 3.2269582748413086
12, validation, 6.767344951629639
13, validation, 6.863711357116699
