track ID, train/test set, vocals
0, validation, 1.0365090370178223
1, validation, -7.377866744995117
2, validation, 1.9807087182998657
3, validation, -1.3156360387802124
4, validation, 1.6465531587600708
5, validation, 2.8309359550476074
6, validation, 4.383968353271484
7, validation, -5.7536211013793945
8, validation, 2.5231096744537354
9, validation, 2.59633207321167
10, validation, 3.6455626487731934
11, validation, 3.2278151512145996
12, validation, 1.8158612251281738
13, validation, 5.712233066558838
