track ID, train/test set, vocals
0, validation, 22.550914764404297
1, validation, 22.203359603881836
2, validation, 10.27993106842041
3, validation, -0.6045224070549011
4, validation, 4.244089603424072
5, validation, 7.82550573348999
6, validation, 16.49493980407715
7, validation, 16.395280838012695
8, validation, 9.43787670135498
9, validation, 13.073596954345703
10, validation, 1.6361076831817627
11, validation, 6.562337875366211
12, validation, 4.264016628265381
13, validation, 14.261370658874512
