track ID, train/test set, vocals
0, validation, 2.948317527770996
1, validation, 4.059083461761475
2, validation, 2.9615135192871094
3, validation, 3.151512622833252
4, validation, 3.719637393951416
5, validation, 5.146757125854492
6, validation, 3.1991350650787354
7, validation, 1.3120810985565186
8, validation, 5.152442932128906
9, validation, 1.617989420890808
10, validation, 7.031976699829102
11, validation, 3.548722267150879
12, validation, 2.984482765197754
13, validation, 6.92027473449707
