track ID, train/test set, vocals
0, validation, -7.158483982086182
1, validation, -4.540934085845947
2, validation, -7.8102264404296875
3, validation, -4.5166015625
4, validation, -4.320136070251465
5, validation, -4.419632434844971
6, validation, -2.3832266330718994
7, validation, -0.8889642357826233
8, validation, -5.219600677490234
9, validation, -2.387727737426758
10, validation, -0.746449887752533
11, validation, -2.1321771144866943
12, validation, -5.080283164978027
13, validation, 3.464454412460327
