track ID, train/test set, vocals
0, validation, 0.3752234876155853
1, validation, 0.5520144104957581
2, validation, 0.6301475763320923
3, validation, 1.0041130781173706
4, validation, 0.022742263972759247
5, validation, 1.148242473602295
6, validation, 0.34496188163757324
7, validation, 0.6026759743690491
8, validation, 0.44907960295677185
9, validation, 0.8326449990272522
10, validation, 0.25320690870285034
11, validation, 1.781470537185669
12, validation, 0.24124521017074585
13, validation, 0.7834594249725342
