track ID, train/test set, vocals
0, validation, 3.6481773853302
1, validation, -0.6075966358184814
2, validation, 1.7505449056625366
3, validation, 1.3337968587875366
4, validation, -5.7558794021606445
5, validation, 2.3078091144561768
6, validation, -8.360859870910645
7, validation, 2.363483190536499
8, validation, 2.2889270782470703
9, validation, 0.5370273590087891
10, validation, 1.9985804557800293
11, validation, 6.046170234680176
12, validation, -2.8714849948883057
13, validation, 0.7170597314834595
