track ID, train/test set, vocals
0, validation, 4.2896904945373535
1, validation, 5.334384918212891
2, validation, 4.873019695281982
3, validation, 8.07082462310791
4, validation, 4.0681681632995605
5, validation, 4.768415927886963
6, validation, 6.224745750427246
7, validation, 3.34602689743042
8, validation, 2.4338624477386475
9, validation, 4.867314338684082
10, validation, 7.663250923156738
11, validation, 6.817956924438477
12, validation, 5.692533493041992
13, validation, 6.401486873626709
