track ID, train/test set, vocals
0, validation, -2.375703811645508
1, validation, -1.0814061164855957
2, validation, 1.2602360248565674
3, validation, -0.5630831122398376
4, validation, 1.6109557151794434
5, validation, 0.30031096935272217
6, validation, 0.4493284225463867
7, validation, 0.35160884261131287
8, validation, -6.051844596862793
9, validation, -3.8389949798583984
10, validation, -0.9391024708747864
11, validation, 4.933538436889648
12, validation, 1.676189661026001
13, validation, -8.17282772064209
