track ID, train/test set, vocals
0, validation, -12.296318054199219
1, validation, -0.8578037023544312
2, validation, -15.37563419342041
3, validation, -18.01929473876953
4, validation, -16.642499923706055
5, validation, -21.723220825195312
6, validation, -28.80145263671875
7, validation, -16.302902221679688
8, validation, -35.864463806152344
9, validation, -19.014644622802734
10, validation, -30.65404510498047
11, validation, -23.552471160888672
12, validation, 2.2386810779571533
13, validation, -5.58035945892334
