track ID, train/test set, drums, bass, other, vocals
0, validation, -1.089847207069397, 1.7874970436096191, 1.091507077217102, -31.88789939880371
1, validation, 2.181776285171509, 4.098292350769043, -3.9770538806915283, -12.634778022766113
2, validation, -1.2690343856811523, -10.71479320526123, -0.16774681210517883, -15.610337257385254
3, validation, -1.1043426990509033, -7.44985294342041, -0.28267285227775574, 2.396792411804199
4, validation, -3.6714203357696533, -2.3687140941619873, -0.3722726106643677, -12.429403305053711
5, validation, -4.4369730949401855, -0.3772609829902649, -2.881669759750366, -25.330514907836914
6, validation, 1.1129783391952515, 1.0972332954406738, -1.8341495990753174, -15.723779678344727
7, validation, -4.369377136230469, -5.443650245666504, 0.5007481575012207, -43.92120361328125
8, validation, -4.9023213386535645, -11.310644149780273, 2.2155508995056152, -44.415409088134766
9, validation, -5.33102560043335, 4.560451030731201, -4.546557903289795, -9.288198471069336
10, validation, 7.748756408691406, -5.759547233581543, 1.1490224599838257, -24.236047744750977
11, validation, -0.6810747981071472, 2.873882293701172, -1.7829328775405884, -13.125324249267578
12, validation, -34.08998107910156, -41.30510330200195, -2.9981484413146973, -7.762204170227051
13, validation, 2.752833843231201, 4.518624782562256, -7.506272315979004, -0.9013850688934326
